--------------------------------------------------------------------------		
ORFs not available in the Yeast Deletion Collection  		
--------------------------------------------------------------------------		
ORF_name 	Gene_name                           	SGD_class
YER165C-A	                                    	Dubious
YER172C-A	                                    	Dubious
YER188C-A	                                    	Uncharacterized
YER189W  	                                    	Uncharacterized
YER190C-A	                                    	Dubious
YER190C-B	                                    	Uncharacterized
YER190W  	YRF1-2, YRF1                        	Verified
YFL012W-A	YFL013W-A                           	Dubious
YFL015W-A	                                    	Dubious
YFL017W-A	SMX2, YFL018W-A, SNP2               	Verified
YFL021C-A	                                    	Dubious
YFL031C-A	YFL030C-A                           	Dubious
YFL034C-B	MOB2, YFL035C-A, YFL035C            	Verified
YFL057C  	AAD16                               	Verified
YFL058W  	THI5                                	Verified
YFL059W  	SNZ3                                	Verified
YFL061W  	                                    	Uncharacterized
YFL062W  	COS4                                	Verified
YFL064C  	                                    	Uncharacterized
YFL065C  	                                    	Uncharacterized
YFL066C  	                                    	Uncharacterized
YFL067W  	                                    	Uncharacterized
YFL068W  	                                    	Uncharacterized
YFR009W-A	                                    	Dubious
YFR010W-A	                                    	Dubious
YFR034W-A	                                    	Dubious
YFR036W-A	                                    	Dubious
YFR052C-A	                                    	Dubious
YGL014C-A	                                    	Dubious
YGL041W-A	                                    	Dubious
YGL052W  	                                    	Dubious
YGL063C-A	                                    	Dubious
YGL106W  	MLC1                                	Verified
YGL123C-A	                                    	Dubious
YGL182C  	                                    	Dubious
YGL183C  	MND1                                	Verified
YGL187C  	COX4                                	Verified
YGL188C  	                                    	Dubious
YGL189C  	RPS26A, RPS26                       	Verified
YGL193C  	                                    	Uncharacterized
YGL194C-A	                                    	Uncharacterized
YGL204C  	                                    	Dubious
YGL258W-A	                                    	Uncharacterized
YGR031C-A	                                    	Dubious
YGR068W-A	                                    	Dubious
YGR240C-A	                                    	Uncharacterized
YGR270C-A	                                    	Dubious
YGR293C  	                                    	Dubious
YGR294W  	                                    	Uncharacterized
YGR296C-A	                                    	Dubious
YGR296C-B	                                    	Dubious
YGR296W  	YRF1-3, YRF1                        	Verified
YHL002C-A	                                    	Dubious
YHL006W-A	                                    	Dubious
YHL018W  	                                    	Uncharacterized
YHL019W-A	                                    	Dubious
YHL030W-A	                                    	Dubious
YHL034W-A	                                    	Dubious
YHL046W-A	                                    	Dubious
YHL048C-A	                                    	Uncharacterized
YHL048W  	COS8                                	Verified
YHL049C  	                                    	Uncharacterized
YHL050C  	                                    	Uncharacterized
YHL050W-A	                                    	Dubious
YHR002W  	LEU5                                	Verified
YHR027C  	RPN1, NAS1, HRD2                    	Verified
YHR028W-A	                                    	Dubious
YHR032C-A	                                    	Dubious
YHR032W-A	                                    	Dubious
YHR039C-A	VMA10, YHR039BC, YHR039C-B          	Verified
YHR052W  	CIC1, NSA3                          	Verified
YHR052W-A	                                    	Dubious
YHR053C  	CUP1-1, CUP1                        	Verified
YHR054C  	                                    	Uncharacterized
YHR054W-A	                                    	Dubious
YHR055C  	CUP1-2, CUP1                        	Verified
YHR056C  	RSC30                               	Verified
YHR056W-A	                                    	Dubious
YHR063W-A	                                    	Dubious
YHR069C-A	                                    	Dubious
YHR070C-A	                                    	Dubious
YHR071C-A	                                    	Dubious
YHR073C-B	                                    	Dubious
YHR073W-A	                                    	Dubious
YHR079C-A	SAE3, YHR079BC, YHR079C-B           	Verified
YHR099W  	TRA1                                	Verified
YHR119W  	SET1, YTX1                          	Verified
YHR131W-A	                                    	Dubious
YHR137C-A	                                    	Dubious
YHR144C  	DCD1                                	Verified
YHR145C  	                                    	Dubious
YHR165W-A	                                    	Dubious
YHR173C  	                                    	Dubious
YHR174W  	ENO2                                	Verified
YHR175W  	CTR2                                	Verified
YHR180C-B	                                    	Dubious
YHR180W-A	                                    	Dubious
YHR182C-A	                                    	Dubious
YHR193C-A	                                    	Dubious
YHR201C  	PPX1                                	Verified
YHR208W  	BAT1, TWT1, ECA39                   	Verified
YHR211W  	FLO5                                	Verified
YHR212C  	                                    	Dubious
YHR212W-A	                                    	Uncharacterized
YHR213W  	                                    	Uncharacterized
YHR213W-A	                                    	Uncharacterized
YHR213W-B	                                    	Uncharacterized
YHR214C-D	                                    	Uncharacterized
YHR214C-E	                                    	Uncharacterized
YHR214W  	                                    	Uncharacterized
YHR214W-A	                                    	Dubious
YHR215W  	PHO12, PHO10                        	Verified
YHR216W  	IMD2, PUR5                          	Verified
YHR217C  	                                    	Dubious
YHR218W  	                                    	Uncharacterized
YHR218W-A	                                    	Dubious
YHR219C-A	                                    	Dubious
YHR219W  	                                    	Uncharacterized
YIL014C-A	YIL015C-A                           	Uncharacterized
YIL020C-A	                                    	Dubious
YIL021C-A	                                    	Dubious
YIL029W-A	                                    	Dubious
YIL030W-A	                                    	Dubious
YIL047C-A	                                    	Dubious
YIL066W-A	                                    	Dubious
YIL068W-A	                                    	Dubious
YIL071W-A	                                    	Dubious
YIL082W  	                                    	Dubious
YIL100C-A	                                    	Dubious
YIL102C-A	                                    	Uncharacterized
YIL105W-A	                                    	Dubious
YIL115W-A	                                    	Dubious
YIL142C-A	                                    	Dubious
YIL151C  	                                    	Uncharacterized
YIL156W-A	                                    	Dubious
YIL156W-B	                                    	Uncharacterized
YIL169C  	HPF1                                	Uncharacterized
YIL171W-A	                                    	Dubious
YIL172C  	                                    	Uncharacterized
YIL176C  	                                    	Uncharacterized
YIL177C  	                                    	Uncharacterized
YIL177W-A	                                    	Dubious
YIR017W-A	                                    	Dubious
YIR020C-B	                                    	Dubious
YIR020W-A	YIR020W-B                           	Dubious
YIR023C-A	                                    	Dubious
YIR030W-A	                                    	Dubious
YIR036W-A	                                    	Dubious
YIR040C  	                                    	Dubious
YIR041W  	                                    	Uncharacterized
YJL020W-A	                                    	Dubious
YJL026C-A	                                    	Dubious
YJL052C-A	                                    	Uncharacterized
YJL077W-A	                                    	Dubious
